Institution;Project name;Application;Comment;Status;Method;Software;Description of the project
Centre for European Economic Research (ZEW);TOBI - Text Data-Based Output Indicators as the basis for a new innovation metric 17;Classification;Text analysis and classification;Under development;Miscellaneous;Python;New output indicators for innovation activities are being developed in the joint project. Computational linguistic methods are used, which are applied to large amounts of text data. The development of the methods and validation of the generated indicators is carried out by the ZEW in Mannheim and the Justus-Liebig-University GieÃƒÅ¸en. At the ZEW, the analysis is based on text content from company websites, which is collected automatically and regularly via a web scraper. Using text data mining (e.g. topic models), information on innovations is then identified from these texts and innovation indicators are derived. The websites are accessed on the basis of the databases available at the ZEW. These allow the continuous monitoring of the websites of the current German company stock and the consideration of extensive metadata (e.g. industry and location of the company). In addition, the newly generated innovation indicators can be compared with conventional innovation indicators via the ZEW databases.
German Central Bank;Statistics on securities investments: Support of data preparation through integration of machine learning procedures 20;Classification;;Prototype;Random Forest;Python;A Random Forest algorithm learns to mark data reported from employee decisions as incorrect and to make predictions about the probability of error.
German Central Bank;Record Linkage in FDSZ 21;Classification;;Prototypes;Random Forest;Python, SAS;Identification of units from various internal and external company databases for the creation of linked company data for research purposes.
German Central Bank;Combination of statistical tests for the existence of seasonal patterns in macroeconom ic time series 22;Classification;;Project;Random Forest, Conditional Random Forest;R;The random forest algorithm, which can be assigned to machine learning, is repeatedly one of the best forecasting and classification methods. At the same time, measures exist for determining the importance of predictors. Thus, random forests can be used to combine the results of different seasonal tests and quantify the influence of each test on the final classification decision and thus the information content of each test.
German Central Bank;Classification of economic activities for sole proprietor- ships 23;Classification;;Implemented;Artificial neural backpropagation network with an error learning sequence from Support Vector Machine and Random Forest. (previously Logit Backward Selection);R (formerly Stata);Economic activities are provided by various data providers in the non-ficial individual accounts statistics of the Deutsche Bundesbank. The quality of these sources varies over time as well as in cross-section. A poor allocation of the branch of economic activity can lead to distortions in the company accounts statistics, in particular by holding companies.  As holding companies differ from other companies in their ficial structure, it is classified whether a company is a holding company or not. Doubtful cases are then examined manually.
IAB & University of Mannheim;New methods for professional coding 25;Classification;Classification with several classes;Under development;Comparison of different algorithms, Stacking, Boosting;R;Professional code refers to the assignment of free text answers from surveys to official professional classifications. The generation of proposals for manual coding has so far been partly automatic, based on a list of job designations and string matching algorithms. The project is testing whether training data from previous surveys can be used as an alternative to generate better proposals. Furthermore, the suggestions should be displayed directly during the interview so that the interviewees can choose the most suitable category themselves.
IAB;Correction of training information in administrative data;Classification;Classification with several classes;Under development;Decision Trees, Random Forest, SVM, Boosting, Ensembles, Stacking;R;Within the framework of the project, a data-driven procedure for the correction of educational information in administrative individual data is to be developed and compared with current deterministic methods.
IAB;Prediction of duration in unemploymen t and evaluation of placement measures on the basis of a field experiment with machine learning methods26;Classification;Regression and classification;Ongoing DFG project;Decision Trees, Random Forest, SVM, Boosting, Ensembles, Stacking;R;Within the framework of the DFG project, context-related possibilities for predicting unemployment with machine learning will be tested and used to evaluate the effects of a field experiment.
IAB;Estimation of economic activities using CART procedures;Classification;Classification with several classes;Under development;Decision Trees;R;Regular changes in the classification of economic activities cause problems when evaluating over longer periods of time. As part of the project, individual classifications will be updated for the IAB's operational history panel over the entire period of the panel, so that evaluations will be possible on a consistent classification.
IAB FB C1 and Bristol University;Prediction of unemploy- ment duration 27;Classification;Classification and prediction;Productive operation;Decision Trees, Logit, Lasso, SVM;R;The aim of the project is to predict unemployment by means of machine learning methods and to investigate already conducted experiments on different aspects of assignment processes to heterogeneous treatment effects, also with reference to machine learning methods.
IAB;Imputation of missing information on working time;Classification;;Completed;Classification Trees, Cross Validation;R;As a result of the change in the activity characteristic of the social security declarations (DEÃƒÅ“V), the full-time/part-time specification was missing in the employee declarations in 2011 and 2012. They were imputed with the help of classification trees.
Federal Office for Migration and Refugees;Profile analysis;Classification;Aggregation and classification of text passages;Development of a pilot system;Semantic text analysis;Watson Explorer (WEX);With the implementation of a proof of concept and the subsequent development of a pilot system, the profile analysis project will test machine learning methods at the Federal Office for Migration and Refugees for the first time. A semantic text analysis of the hearing records in the context of the asylum procedure is provided. The aim is to highlight relevant text passages that point to safety-relevant information and to classify them according to given safety criteria. The analysis results are prepared in a user-friendly way and thus support the responsible clerks in fulfilling the BAMF's reporting obligation.
GESIS - Leibniz Institute for the Social Sciences;Towards Quantifying Sampling Bias in Network Inference30;Classification;Relational Classification;Research publication;Bayes + Relaxation + Collective Inference;Python;"Abstract: ""Relational inference leverages relationships between entities and links in a network to infer information about the network from a small sample. This method is often used when global information about the network is not available or difficult to obtain. However, how reliable is inference from a small labelled sample? How should the network be sampled, and what effect does it have on inference error? How does the structure of the network impact the sampling strategy? We address these questions by systematically examining how network sampling strategy and sample size affect accuracy of relational inference in networks. To this end, we generate a family of synthetic networks where nodes have a binary attribute and a tunable level of homophily. As expected, we find that in heterophilic networks, we can obtain good accuracy when only small samples of the network are initially labelled, regardless of the sampling strategy. Surprisingly, this is not the case for homophilic networks, and sampling strategies that work well in heterophilic networks lead to large inference errors. These findings suggest that the impact of network structure on relational classification is more complex than previously thought."""
GESIS - Leibniz Institute for the Social Sciences;Enriching ontologies with encyclopedic background knowledge for document indexing35;Classification;Document classification;Research publication;LLDA, SVM;Scala, Python;Using encyclopedic background knowledge for enriching domain- specific ontologies for document classification
GESIS - Leibniz Institute for the Social Sciences;Why we read Wikipedia38;Classification;;Research publication;Gradient Boosting;Python, Spark;"Abstract: ""Wikipedia is one of the most popular sites on the Web, with millions of users relying on it to satisfy a broad range of information needs every day. Although it is crucial to understand what exactly these needs are in order to be able to meet them, little is currently known about why users visit Wikipedia. The goal of this paper is to fill this gap by combining a survey of Wikipedia readers with a log-based analysis of user activity. Based on an initial series of user surveys, we build a taxonomy of Wikipedia use cases along several dimensions, capturing users' motivations to visit Wikipedia, the depth of knowledge they are seeking, and their knowledge of the topic of interest prior to visiting Wikipedia. Then, we quantify the prevalence of these use cases via a large-scale user survey conducted on live Wikipedia with almost 30,000 responses. Our analyses highlight the variety of factors driving users to Wikipedia, [...]. Finally, we match survey responses to the respondents' digital traces in Wikipedia's server logs, enabling the discovery of behavioral patterns associated with specific use cases. For instance, we observe long and fast-paced page sequences across topics for users who are bored or exploring randomly, whereas those using Wikipedia for work or school spend more time on individual articles focused on topics such as science. Our findings advance our understanding of reader motivations and behavior on Wikipedia and can have implications for developers aiming to improve Wikipedia's user experience, editors striving to cater to their readers' needs, third-party services (such as search engines) providing access to Wikipedia content, and researchers aiming to build tools such as recommendation engines."""
GESIS - Leibniz Institute for the Social Sciences;Text Categorization for Deriving the Application Quality in Enterprises Using Ticketing Systems42;Classification;Text classification;Research publication;SVM, Decision Tree and others;Java;"Abstract: ""TodayÃ¢â‚¬â„¢s enterprise services and business applications are often centralized in a small number of data centers. Employees located at branches and side offices access the computing infrastructure via the internet using thin client architectures. The task to provide a good application quality to the employers using a multitude of different applications and access networks has thus become complex. Enterprises have to be able to identify resource bottlenecks and applications with a poor performance quickly to take appropriate countermeasures and enable a good application quality for their employees. Ticketing systems within an enterprise use large databases for collecting complaints and problems of the users over a long period of time and thus are an interesting starting point to identify performance problems. However, manual categorization of tickets comes with a high workload.In this paper, we analyze in a case study the applicability of supervised learning algorithms for the automatic identification of relevant tickets, i.e., tickets indicating problematic applications. In that regard, we evaluate different classification algorithms using 12,000 manually annotated tickets accumulated in July 2013 at the ticketing system of a nation-wide operating enterprise. In addition to traditional machine learning metrics, we also analyze the performance of the different classifiers on business-relevant metrics."""
 Central Statistical Bureau of Latvia                ; Number of population and key demographic indicators 44             ;Classification;; Productive                 ; Logistic Regression (GLM) is used in production. Stochastic Gradient Boosting (GBM), Support Vector Machines (SVM), Regularized Discrimit Analysis (RDA), Multi-Layer Perceptron (MLP), Radial Basis Function Network (RBF) were tested during the implementation stage.; R (data.table)                 ;                  
 Central Statistics Office of Ireland   ; Automatic coding via open-source indexing utility ;Classification; Multi-class classification   ; Development    ;     ; Apache Lucene / Python   ; An automatic coding system for Classification of Individual Consumption by Purpose (COICOP) assignment for their Household Budget Survey, using previously coded records as training data. Their method is based on the open-source indexing and searching tool Apache Lucene (http://lucene.apache.org).
 Federal Statistical Office of Switzerland ; Modelling of the non- response mechanism;Classification; Binary classification of response homogeneity groups; Productive   ; CHAID   ; SAS   ; Classification trees are used to model the behaviour of the non- respondents in order to diminish non-response bias in the results.  
 Federal Statistical Office of Switzerland   ; Detection of suspicious responses   ;Classification;; Test     ; Generalized boosted models, Random Forest, Neural networks, Naive Bayes, Tree algorithms, ...; R     ; Several machine learning algorithms are tested to detect anomalies in the data. Detected units are contacted to check the data again. These methods are applied in a field where no or very few edit rules are available.  
 Federal Statistical Office of Switzerland  ; Turnover breakdown from grouped answers to the enterprises;Classification;; Test    ; Random Forest    ; R    ; This project is at its beginning. It is planned to use random forests to learn from the Turnover statistics and to apply it to the units not in the Turnover statistics. There is no other data available to breakdown grouped VAT data. 
 Federal Statistical Office of Switzerland ; Automatiza- tion of the NOGA (Swiss NACE) coding;Classification;; Test   ; Several   ; R   ; This project is at its very beginning. It is planned to test several machine learning algorithms which are not yet fixed.  
 Federal Statistical Office of Switzerland   ; Automatiza- tion of land cover and land use codes based on aerial images;Classification;; Test     ; CNN     ; R/Python     ; This project is at its beginning. It is planned to use convolutional neural networks for coding or for change detection.    
 Hungarian Central Statistical Office Institut national de la statistique et des ÃƒÂ©tudes ÃƒÂ©conomiques (INSEE)        ; Tax evader detection46 Detecting wages/paid hours anomalies in employer payroll declaration statistical databases    ;Classification; Classification  Non supervised algorithms           ; Experiment  Ongoing experiment           ; k-NN  Fuzzy associations, Isolation Forest, local outliers factors          ;   R, Python            ; Detecting self-employed proprietors who are tax evaders  The Annual Declaration of Social Data (Ã¢â‚¬Å“dÃƒÂ©claration annuelle de donnÃƒÂ©es socialesÃ¢â‚¬Â, DADS), mandatory fulfilled each year by each employer and to which reported individual wage-earner information is transmitted to fiscal and social services for payroll and tax purposes as well as for calculating social security wage-earners rights (e.g., pensions), has been replaced since 2016 by a monthly Nominative Social Declaration information. This change of sources completely modifies the national statistical service of information on employment and wages that relies on, and provides the opportunity to rethink the automatic anomaly detection process implemented in the statistical production line. The experimental project tests different machine learning-based algorithms for anomaly detection of net and gross wages and related paid hours.
 Institut national de la statistique et des ÃƒÂ©tudes ÃƒÂ©conomiques (INSEE) and Statistical office of the Interior Ministry; Identify the cases of intra- family violence in the complaint filings  ;Classification; Text mining, classification      ; Stand by       ; LDA, Random Forest       ; R       ; The purpose of this study is to identify for each complaint, whether it can be considered as a intra-family violence or not,  by exploiting contextual information filled out in a free-format box together with standardized information. The experiment uses 3 millions of complaints from the Paris region and applies textual analysis and machine learning techniques  
Institut national de la statistique et des ÃƒÂ©tudes ÃƒÂ©conomiques (INSEE) and IPP- Paris School of Economics;Machine learning for predicting careers and wages for micro- simulation models;Classification;Multinomial classification;Ongoing experiment;Classification Trees, Random Forest, Boosting;R;"Modelling labour market trajectories is of crucial importance to study retirement behaviours, pension distribution, and ficial balances of retirement plans, especially in a pay-as-you-go system. We explore two margins of improvement for microsimulation of labour market trajectories: the use of non-parametric methods (random forests and boosted trees) and a discretized modelling of individual unobserved heterogeneity. We use administrative data from French complementary pension system in the private sector to design and test our simulation method; those data lack variables related to education level, marriage and family. Performance of models is assessed regarding both cross-sectional indicators and indicators of trajectory consistency. By doing so, we ensure that the techniques we develop reproduce the inner individual dynamics, a real challenge when simulating pension levels. In line with the needs expressed in reviews of existing models, we propose a simple framework for a systemic evaluation of models' performance."
National Institute of Statistics Romania;Action plan for EU-SILC improvements;Classification;Poverty indicators;Productive;Random Forest;R;The data matching methods have been used in order to increase the quality of EUSILC sample bringing together information from different data sources: sample survey and administrative registers.
National Institute of Statistics Romania;Modeling the potential human capital on the labor market48;Classification;;"Actually no ML; experiment";Logistic Regression;R;Creating the profile of two categories of potential human capital by modelling the relationship between economically inactive persons who are seeking for a job, but are not immediately available to start working, respectively economically inactive persons who are not seeking for a job, but are immediately available to start working, and some socio-economic predictors. The aim is to identify the impediments which determine inactive people not to become active on the labour market.
National Statistics Center, Japan;Supervised multiclass classifier for an autocoding for the Family Income and Expenditure survey49;Classification;Multiple classification;Experiment;NaÃƒÂ¯ve Bayes;Pearl / R;Multiclass classifier that can classify Japanese short text descriptions according to their corresponding classification codes has been developed for the Family Income and Expenditure survey in Japan. The concept of the naÃƒÂ¯ve Bayes classifier is borrowed for the algorithm of the classifier. The classifier is also applicable to English text descriptions and other classifications tasks.
 OECD        ; Algorithms and Collusion50      ;Classification;; Experiment        ; Several methods        ;         ; The combination of data with technologically advanced tools such as pricing algorithms and machine learning is increasingly changing the competitive landscape in the digital markets. There is a growing number of firms using computer algorithms to improve their pricing models, customise services and predict market trends, which could generate efficiencies. However, the widespread usage of algorithms could also pose possible anti-competitive effects by making it easier for firms to achieve and sustain collusion without any formal agreement or human interaction.
 STATEC (Luxembourg)    ; Scanner Data     ;Classification;; Productive     ; MLR     ; Solr / Java / Talend    ; Machine Learning Ranking (MLR) is used in the Scanner Data project to classify the individual items into COICOP (Classification of individual consumption according to purpose), which is the standard classification used for compiling a CPI. It allows to use a larger sets of incoming data without increasing costs of manuel processing.
 STATEC (Luxembourg)        ; Business Enterprise Research and Development (BERD)     ;Classification;; Productive         ; Model Stacking         ; KNIME, R         ; An in-house developed ensemble classifier assesses for each survey respondent the probability of performing intra-mural R&D activities during the reference year. The probability is conditional on the available data, which includes current and past survey data (including unstructured text) as well as administrative sources. The model results are used in the survey data validation process to spot item non-response and inaccurate responses on the intra-mural R&D variables. Such respondents are then individually contacted by the statistical analysts, if necessary. Albeit the use of an ensemble classifier, the model results remain fully interpretable.
 Statistics Austria   ; Estimating AROPE for the Austrian rich frame53;Classification; Estimation/Classification  ; Productive   ; Boosting Trees Algorithm  ; R   ;Arope = At risk of poverty or social exclusion
 Statistics Belgium    ; Predicting the NACE code of a job vacancy  ;Classification; Binary classification    ; Test    ; SVM,    ; R (RtxtTools)    ; Machine learning is used to predict the NACE code of a job vacancy based on the job description. We use administrative databases (from national jobs portals) to model the link between words in the description and the NACE code. We expect to apply this model to scrap job vacancies from internet job portals in Belgium.
Statistics Canada;Consumer Prices scanner data use;Classification;;In production parallel run;SVM;python;Consumer Prices: retail scanner data classification to the Consumer Price Index (CPI) commodities classification, used to suggest CPI product substitutions. Currently, in production parallel run.
Statistics Canada;Retail scanner data use for Monthly retail trade survey and Quarterly retail commodity survey;Classification;;Transitioning to production;XGBoost linear, with bag of words character n-grams model;R;Machine learning text classification is used to obtain the NAPCS code of each product sold within the retail scanner data, and obtain aggregate sales for each NAPCS, aggregate sales by area/ postal code. Proof of Concept (PoC) completed.
Statistics Canada;Business Activity, Expenditure and Output (BAEO) survey comments text mining;Classification;;Experiment completed;Linear SVM, with bag of words model;R;The BAEO survey receives close to 9000 comments. ML was used to classify the comments into 8 action categories.
Statistics Canada;Payments data feasibility project;Classification;;At experimentation stage;SVM;R;ML is used to classify the payment transactions into standard statistical classification concepts (NAICS, COICOP, etc). The projectÃ¢â‚¬â„¢s goal is to determine if the data can be used to produce information related to retail sales, household consumption, digital transactions, and tourism statistics. ML might be also used for imputation of misisng values.
Statistics Canada;Transport statistics: Trucking Commodity Origin and Destination Survey (TCOD);Classification;Text classification, image classification, predictive modelling for missing information based on auxiliary data, record linkage;At experimentation stage;recently started;R, Python;ML will be used to classify the electronically reported data. In the context of the TCOD survey redesign, the use of auxiliary sources such as GPS data, satellite imagery is evaluated as a new source for trucking data analysis, including linkage to a specific business on the BR.
Statistics Canada;Harvesting key data on causes of death from narrative descriptions;Classification;Classification;"Exploration part 1 completed (promising approach with limited success due to weak training data); Literature review completed for future exploration";Various (SVM, NN, Adabost NaÃƒÂ¯ve Bayes);Python;"Harvesting key data on causes of death and abuse from narrative descriptions Exploring narrative descriptions to harvest statistical information (cause of death in coronersÃ¢â‚¬â„¢ reports; abuse case in social workersÃ¢â‚¬â„¢ narrative description) A machine learning application is being used to mine more rapidly and efficiently the unstructured narratives that coroners include in their reports and that detail the circumstances of the deaths. These narratives are included in our Canadian Coroners and Medical Examiners Database (CCMED). Its first goal is to identify opioid- related deaths. In the longer-term, it is hoped that machine learning/Artificial Intelligence would permit to rapidly recognize any patterns that would point to another crisis or specific circumstances that affect many investigated death cases."
 Statistics Canada      ; Study of comments submitted during the 2016 Census content consultation;Classification; Key term identification and binary classification    ; Productive      ; Natural Language Processing     ; SAS JMP      ; Used text mining software to analyze over 1.1 million comments compiled from the 2016 Census content consultation to inform possible content and questionnaire changes for 2021.    
 Statistics Canada  ; Census and others ;Classification;Classification; Exploration  ; Unsupervised ML to cluster comments ; SAS Enterprise Miner ; Exploring information provided in comments box in the Census with focus on non-binary gender self-identification in open text/comment box
 Statistics Canada        ; Creating synthetic data for micro- simulation     ;Classification;; Idea to start in FY 2018       ; Likely K Nearest Neighbours       ; R, knnnn package        ; Microsimulation models require complete data. Currently in the Population Health Microsimulation Model (POHEM) we do not model measured data such as that collected Canadian Health Measures Survey (CHMS). Having measured data in POHEM is a desirable attribute if the model is to be used for evidence-based policy analysis around cardiovascular disease and other chronic diseases. AI solution: Use AI/machine learning techniques to match data from the CHMS to the Canadian Community Health Survey (CCHS) in order to initialize a starting POHEM population with measured health data.
 Statistics Canada     ; Automated extraction of features for record-linkage  ;Classification;; Initial exploration     ; Supervised, unsupervised, dimension reduction techniques (e.g. PCA); SAS     ; The goal is to automate the selection of features for record-linkage. Currently these features are selected manually based on expert knowledge.   
 Statistics Canada      ; Machine Learning for record linkage    ;Classification; Binary classification      ; Exploration      ; SVM, Neural network, Supervised Logistic    ; SAS EM      ; Similarities metrics such as Jaro, Jaro-Winkler, Fuzzy Winkler, Fuzzy Jaro are developed in G-Link and ready to be used by Machine Learning methods outside of G-Link. We are exploring the use of the SAS enterprise Miner software. In this way, Statistics Canada is creating an opportunity to examine and compare the Fellegi-Sunter classifier with alternative methods (SVM, neural networks etc. )
Statistics Canada;NAICS/NOC autocoder;Classification;;Refining the model for increased accuracy, to be implemented in Python;Bag of words and statistical classifier;Pearl, Python;Automatic data classification (various classifications including occupation and industry)
Statistics Canada;Exploration of machine learning to identify driving under the influence by type of substance;Classification;;Idea;TBD;TBD;Social media scrapping for estimating the prevalence of driving under the influence by type of substance.
Statistics Finland;Machine reading accident reports;Classification;Binary classification;Productive;tf-idf + Logistic Regression;Python;Free-text road traffic accident reports from the Police are classified to those which caused personal injuries and those which did not
Statistics Finland;Automatic coding of industry and occupation56;Classification;Multi-class classification;Development;Random Forest;Python;Random forest classifiers are used to automatically classify Finnish Labour Force Survey respondents to correct industry and occupation (NACE, ISCO) based on combined register and survey data
Statistics Iceland;Assignment of fine-grained product ids based on product descriptions;Classification;;In review;Random Forest;Python;
Statistics Netherlands;Predicting moving behavior;Classification;Binary classification, can be expanded to multinomial classification;Experiment;Random Forest;R;Random forests are used to predict moving behavior of persons from registered life-history events. Predictions can potentially replace a survey questionnaire and thus contribute to shorter questionnaires and reduce survey fatigue.
Statistics Netherlands;URL retrieval Enterprises58;Classification;Binary classification;Production;Decision Tree / Random Forest;Node + Python;Retrieval of URLs using Google custom search, a training set of enterprises with known URLs and a list of enterprises with administrative infomation. For Eommerce detection, social media detection and identifying foreign companies.
Statistics Netherlands;Enterprise classifier21;Classification;;Test;Decision Tree / Random Forest;Node + Python;Prediction of website use, ecommerce detection, social media detection.
 Statistics Netherlands      ; Classification of products into product categories for the CPI   ;Classification; Multiclass classification      ; Idea       ; Random Forest       ; Python       ; The Random Forest algorithm has been extended with active and online learning techniques to classify online products (scraped from e.g. webshops) into product categories. The algorithm aims to keep the training set as small as possible by re-using training items from previous months. Only when quality gets too low, additional training items from the current month are added to the training set, and we then try to use those items that result in the biggest improvement in quality.
 Statistics Netherlands, in collaboration with Tenforce ; Classification of supermarket products for the CPI;Classification; Multiclass classification   ; Test    ; SVM / Random Forest   ; Python    ; Research into the use of Support Vector Machines and Random Forest to classify supermarket (food) items into LCOICOP categories using scanner data  
 Statistics Netherlands                   ; Adaptive data collection at Statistics Netherlands with an application to the Health Survey59             ;Classification;Classification; Productive                    ; Classification Tree                    ; R                    ; Challenges that surveys are facing are increasing data collection costs and declining budgets. During the past years, many surveys at Statistics Netherlands were redesigned to reduce cost and to increase or maintain response rates. Currently, alternative approaches are investigated to produce more accurate estimates within the same budget. Adaptive data collection is proposed for achieving this goal.  Research into the effect of reducing face to face observation in mixed mode surveys on quality and costs was carried out in 2017. Reducing face to face observation can be done in various ways. It can be done through random selection, but also through stratified selection of nonrespondents eligible for face to face follow-up. By using the latter method, nonresponse bias can potentially be reduced. The key decisions to be made are how to divide the population into strata and how to compute the allocation probabilities for face to face follow-up in the different strata. In this presentation the adaptive data collection is elaborated for the Health Survey as it is conducted by Statistics Netherlands since 2018. Attention is paid to the choice of the strata, the choice of the mixed mode observation strategy, the optimization problem with corresponding constraints and the effect of the adaptive data collection on most important survey estimates.
 Statistics Netherlands ; Cyber Security  ;Classification; Binary classification  ; Experiment  ; SVM  ; Python  ; Predict the number of cyber security companies in The Hague area, based on the company websites. We use webscraping, textming and machine learning techniques.
 Statistics Netherlands     ; Automated classification of sustainable companies based on machine learning;Classification; Binary classification      ; Experiment      ; Yet unknown      ; Python      ; Predict the number of companies active in the field of specific SDGs based on the company websites. We use webscraping, textming and machine learning techniques.    
 Statistics Netherlands   ; Cross-Border Internet Purchases at EU webshops61;Classification; Binary classification    ; Productive (beta)    ; Semi-Automated Machine Learning   ; Python    ; Semi-automated machine learning to predict whether an EU company sells goods to Dutch consumers through webshops.   
 Statistics Norway       ; Exploration on Random Forest for editing purposes in register based salary statistics;Classification;;        ; Random Forest       ; R       ;        
 Statistics Portugal   ; Big Data ESSNet  ;Classification; Multiclass classification  ; Test   ; SVM (linear kernel)   ; Python (SciKit- Learn library in a Jupyter Notebook environment);    
